Date,FinBERT_Sentiment,Combined_Titles
01-01-2015 00:00,0.297516704,rbi warns investors against multilevel marketing firms
04-01-2015 00:00,-0.999950677,hdfc bank raises rs crore via bonds on pvt placement; banks exclusive sales tieups with insurers set to end
05-01-2015 00:00,-0.9998959,new india assurance to focus on health motor portfolios; banks cap upper limit for withdrawals at micro atms
08-01-2015 00:00,-0.999944508,life insurance council gets executive council
09-01-2015 00:00,-0.999703139,hdfc bank slashes base rate to; yes bank to enter credit cards space by june
10-01-2015 00:00,-0.999983907,hdfcs rs cr ncdwarrants issue to open for book building
01-02-2015 00:00,-0.00088311,hdfc bank records highest transactions via mobile phones; dont fall prey to vows of multilevel marketing firms rbi; corporation banks tierii bonds lose aaa status
04-02-2015 00:00,-0.999976635,sbi wants more women directors on its board
06-02-2015 00:00,-0.999213994,irdai removes cap on business from one insurer for banks
07-02-2015 00:00,-0.713982761,sbi to reward customers for repaying loan on time
08-02-2015 00:00,-0.272043958,new health cover for bank employees to be ready by monthend; bankers see higher ppf rate limiting more deposit rate cuts
09-02-2015 00:00,0.3406142,indian banks face broader capital challenges says fitch; fitch cuts viability rating for pnb warns idbi vulnerable to downgrade; why other banks cant flex muscle like hdfc bank
10-02-2015 00:00,-0.999849141,hdfc set to raise rs k crore via issue of warrants ncds
01-03-2015 00:00,-0.999871016,govts should give up control in banks mckinsey
02-03-2015 00:00,-0.999699374,reliance birla join the payment bank rush; hdfc bank billion share sale likely this week; hdfc bank likely to raise rs cr this month
03-03-2015 00:00,0.000270694,bankers face uphill task in recovering loans from coffee growers; green light to insurance marketing tieups
07-03-2015 00:00,-0.020470512,hdfc life eyes growth in new business premium; mobile banking may overtake internet transactions by next year hdfc bank; insurance fraud rising problem in nonlife segment
09-03-2015 00:00,-0.999495089,hdfc bank appoints rural sales officer to expand business meet psl requirements
10-03-2015 00:00,-0.977866501,seniors seeking higher health cover; hdfc raises over rs cr through securities
01-04-2015 00:00,-0.551369369,norms tightened for appointment of agents by insurers
04-04-2015 00:00,-0.999970198,health insurance tpa to begin operations on july
06-04-2015 00:00,-0.998315871,hdfc life launches cancer care health plan
07-04-2015 00:00,-0.999943614,housing finance firms look to raise funds through ecb route
08-04-2015 00:00,-0.194606528,private sector banks see an uptick in bad loans in q
09-04-2015 00:00,-0.99984014,hdfc bank to add branches in east by fy
11-04-2015 00:00,0.148955852,banks npl pressure to subside green shoots visible fitch
12-04-2015 00:00,-0.332978229,stanchart warns errant indian borrowers of tough action report; hdfc bank sees green shoots as indian companies borrow again; hdfc banks mobile recharge via missed call
02-05-2015 00:00,-8.29E-06,hdfc bank sets rs price range for offering; indian bank stems asset quality deterioration
04-05-2015 00:00,-0.999838531,nuclear pool private sector insurers chip in with rs cr
05-05-2015 00:00,-0.999870181,bankers seek cesslike structure for agriculture insurance
07-05-2015 00:00,-6.45E-07,low inflation offers scope of rbi rate cut to boost growth sbi
09-05-2015 00:00,-0.861051589,hdfc bank rolls out dhanchayat in odisha; rbis buyback switch of gsec in issuances calendar not seen disrupting market
11-05-2015 00:00,-0.975841582,rbi imposes rs crore penalty on dhanlaxmi bank
12-05-2015 00:00,-0.002395242,chennai rains icici bank not to fine emi credit card payment delays; banks on takeover drive of defaulting companies
01-06-2015 00:00,-0.993964195,cci rejects cartel charge against banks
02-06-2015 00:00,-0.999472111,payments bank jv with reliance to help us sbi; sbi general launches health plan only for sbi its associates accountholders
03-06-2015 00:00,-0.590070575,spouse father decide on health insurance for most women icici lombard survey; insurance marketing firms to enable crossselling products to bfsi customers
04-06-2015 00:00,-0.307654917,easier kyc norm for sole owner companies to open coop bank accounts
08-06-2015 00:00,-0.98717916,sbi life launches smart humsafar; hdfc life launches term product for csc channel; as indians get richer sebi to keep eye on offshore wealth managers
10-06-2015 00:00,-0.49028419,rbi clamp on iob; hdfc cuts home loan rate by bps
11-06-2015 00:00,0.999752939,bank of baroda q profit tumbles as badloan provisions soar
02-07-2015 00:00,-0.999477357,tata capital financial services to raise raise rs cr via debentures; nbfcs turn to debt market
04-07-2015 00:00,-0.927493036,hdfc bank to cut base lending rate by bps; sbi hdfc bank reduce lending rate by bps to; prime minister narendra modi to launch mudra bank on april; lic to tie up with bandhan ubi
05-07-2015 00:00,-0.999924898,now a personal loan disbursed every minute from hdfc bank; canara bank ties up with lic to launch insurance schemes
06-07-2015 00:00,-0.980712831,hdfc bank issues recovery notice to royal family of rajkot
07-07-2015 00:00,0.838106871,stressed asset ratio peaked in fy fitch
09-07-2015 00:00,-0.99908179,doha bank ties up with anil ambanis reliance group
10-07-2015 00:00,-0.999711305,six insurance cos evince interest to raise fdi cap to; insurance regulator may allow long term products in health
11-07-2015 00:00,-0.749265432,rbi working on rules to strengthen financial customer protection rajan
12-07-2015 00:00,-0.999971032,portal for health insurance plans info; idfc bank ties up with tcs for core banking solutions
05-08-2015 00:00,-0.977604747,npci cuts atm switch charges by
06-08-2015 00:00,-0.511022069,hdfc life eyes growth; hdfc bank set to disburse auto loans in minutes
10-08-2015 00:00,-0.999933422,hdfc bank rolls out its largest brand campaign
12-08-2015 00:00,-0.499784992,banks financial firms game for india post venture; iib launches rohini to ease inefficiencies in claim settlements
02-09-2015 00:00,-0.996726602,banks need to be mandated to become brokers reliance life; health insurance tpa of india to begin business in april
05-09-2015 00:00,-0.999797046,now ntpc eyes masala bonds
06-09-2015 00:00,-0.799371473,karnataka bank targets growth in farm lending; banks get freedom to take stake in defaulting firms; hdfc to raise rs k cr via ncd warrants; reliance life insurance hikes number of agents by
10-09-2015 00:00,-0.999204338,rbi cuts risk weight for individual home loans
12-09-2015 00:00,-0.968086123,small finance banks new aif norms a relief
03-10-2015 00:00,-0.993261079,zero tolerance policy on flouting kyc norms in the offing; irdai considering multiple insurer tieups for banks; money laundering over urban cooperative banks under lens
04-10-2015 00:00,-0.505102759,pnb metlife forays into health insurance segment; indusind bank to buy rbss india jewellery financing business
06-10-2015 00:00,-0.999913931,how kamath built a financial powerhouse
07-10-2015 00:00,-0.997905413,bank employees to go on strike on sept against proposed amendments to the labour labours; icici bank says getting enquiries for home finance unit stake; new brics bank to look at local international borrowings kamath
12-10-2015 00:00,-0.999381363,irdai tweaks norms for insurance marketing firms
02-11-2015 00:00,-0.998518109,banks to refer export default cases to ed rbi
04-11-2015 00:00,0.117581367,hdfc cuts home loan rates by bps to
05-11-2015 00:00,-0.752004832,pmo to review steps to check loan frauds on thursday; use offset loans to reduce interest costs
06-11-2015 00:00,-0.999785483,hdfc bank to allow shopping money transfer ticket booking via one application
07-11-2015 00:00,-0.952466249,banks to auction mortgaged assets to recover winsome diamonds dues
11-11-2015 00:00,0.999993622,high group health discounts continue to worry insurers
12-11-2015 00:00,-0.998033494,govts rs kcr booty for psbs inadequate fitch; wilful defaulters to repay over rs cr to banks govt
03-12-2015 00:00,-0.999935031,sumitomo mitsui trust bank completes acquisition of stake in reliance capital
04-12-2015 00:00,-0.955917835,sbi cuts home loan interest rate by up to
08-12-2015 00:00,3.75E-05,chinas yuan devaluation worries indian industry; health insurance tpa of india to start operations in sept
02-01-2016 00:00,-0.999967337,hdfc bank to make its atms minibranches
03-01-2016 00:00,-0.999893546,court asks a fullfledged board to assume office at tamilnad mercantile bank
04-01-2016 00:00,-0.754818456,hdfc completes stake sale in hdfc life to jv partner; hdfc bank to raise up to rs cr via infra bonds; commercial banks announce new lending rate structure; reserve bank of india eases norms for diamond imports
06-01-2016 00:00,-0.999680132,govt planning multiple funds to park stressed assets; hdfc bank to double spends on its smart buy to rs cr in fy
07-01-2016 00:00,-0.994244337,hdfc sbi life buy in idfc infra debt fund
09-01-2016 00:00,-0.999733508,hdfc to raise up to rs cr via rupee denominated bonds
12-01-2016 00:00,-0.999986708,hdfc bank offers cash withdrawal services through retail stores
03-02-2016 00:00,0.055237144,cbi lashes out at banks for delay in declaring vijay mallya as defaulter; arun jaitley pledges all support to keep psbs in good health
08-02-2016 00:00,-0.998959184,hdfc has appetite for more masala bond deals
11-02-2016 00:00,-0.999985158,pe investment in realty up at rs k crore in jansept
12-02-2016 00:00,-0.999878526,rbi may cut interest rate by bps on dec hdfc ceo
03-03-2016 00:00,-0.997410556,black money to attract double payout after month window; drt to decide on plea seeking mallyas arrest tomorrow; hdfc to raise rs crore for refinancing needs
05-03-2016 00:00,-0.997062027,hdfc q net up at rs crore; public sector banks face rs cr in wilful defaults sbi tops list
06-03-2016 00:00,-0.999929607,hdfc completes stake sale in hdfc ergo to foreign partner
